"group","mt_matchLen","sampleID"
"WGS_289_E20_F02.13","(1500,1550]",1,"WGS_289_E20_F02"
"WGS_289_E20_F02.14","(1550,1600]",1,"WGS_289_E20_F02"
"WGS_289_E20_F02.15","(2100,2150]",1,"WGS_289_E20_F02"
"WGS_289_E20_F02.16","(2500,2550]",1,"WGS_289_E20_F02"
"WGS_289_E20_F02.17","(2600,2650]",1,"WGS_289_E20_F02"
"WGS_299_E20_F09.1","(0,50]",8,"WGS_299_E20_F09"
"WGS_299_E20_F09.2","(50,100]",3,"WGS_299_E20_F09"
"WGS_299_E20_F09.3","(100,150]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.4","(150,200]",5,"WGS_299_E20_F09"
"WGS_299_E20_F09.5","(200,250]",6,"WGS_299_E20_F09"
"WGS_299_E20_F09.6","(250,300]",2,"WGS_299_E20_F09"
"WGS_299_E20_F09.7","(350,400]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.8","(400,450]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.9","(450,500]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.10","(500,550]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.11","(600,650]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.12","(700,750]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.13","(850,900]",2,"WGS_299_E20_F09"
"WGS_299_E20_F09.14","(900,950]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.15","(1050,1100]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.16","(1250,1300]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.17","(1750,1800]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.18","(1850,1900]",1,"WGS_299_E20_F09"
"WGS_299_E20_F09.19","(2850,2900]",1,"WGS_299_E20_F09"
"WGS_300_E20_F05.1","(0,50]",3,"WGS_300_E20_F05"
"WGS_300_E20_F05.2","(50,100]",3,"WGS_300_E20_F05"
"WGS_300_E20_F05.3","(100,150]",2,"WGS_300_E20_F05"
"WGS_300_E20_F05.4","(150,200]",2,"WGS_300_E20_F05"
"WGS_300_E20_F05.5","(200,250]",3,"WGS_300_E20_F05"
